year,South Korea temp,Global temp
1839,9.47,7.63
1840,10.21,7.80
1841,9.44,7.69
1842,10.13,8.02
1843,10.33,8.17
1844,10.15,7.65
1845,10.25,7.85
1846,10.57,8.55
1847,10.59,8.09
1848,10.36,7.98
1849,10.39,7.98
1850,9.69,7.90
1851,9.33,8.18
1852,9.52,8.10
1853,9.86,8.04
1854,10.53,8.21
1855,10.83,8.11
1856,10.30,8.00
1857,10.27,7.76
1858,10.45,8.10
1859,10.37,8.25
1860,9.47,7.96
1861,9.77,7.85
1862,9.69,7.56
1863,10.53,8.11
1864,10.00,7.98
1865,10.20,8.18
1866,10.11,8.29
1867,10.56,8.44
1868,10.49,8.25
1869,10.71,8.43
1870,10.34,8.20
1871,10.48,8.12
1872,10.26,8.19
1873,9.85,8.35
1874,10.52,8.43
1875,10.43,7.86
1876,10.71,8.08
1877,10.48,8.54
1878,10.29,8.83
1879,10.62,8.17
1880,10.29,8.12
1881,10.24,8.27
1882,10.43,8.13
1883,10.24,7.98
1884,9.37,7.77
1885,9.88,7.92
1886,10.33,7.95
1887,10.35,7.91
1888,10.34,8.09
1889,9.70,8.32
1890,11.38,7.97
1891,10.33,8.02
1892,9.61,8.07
1893,9.64,8.06
1894,11.60,8.16
1895,9.93,8.15
1896,10.39,8.21
1897,10.40,8.29
1898,11.49,8.18
1899,11.12,8.40
1900,10.55,8.50
1901,10.28,8.54
1902,10.82,8.30
1903,10.68,8.22
1904,10.25,8.09
1905,10.57,8.23
1906,10.08,8.38
1907,10.57,7.95
1908,10.08,8.19
1909,10.13,8.18
1910,9.94,8.22
1911,10.24,8.18
1912,9.96,8.17
1913,9.70,8.30
1914,11.44,8.59
1915,10.35,8.59
1916,10.49,8.23
1917,9.56,8.02
1918,10.21,8.13
1919,10.64,8.38
1920,10.98,8.36
1921,10.49,8.57
1922,10.53,8.41
1923,10.15,8.42
1924,10.54,8.51
1925,10.33,8.53
1926,10.25,8.73
1927,10.56,8.52
1928,10.53,8.63
1929,10.75,8.24
1930,11.12,8.63
1931,10.27,8.72
1932,10.98,8.71
1933,10.47,8.34
1934,10.21,8.63
1935,11.26,8.52
1936,9.85,8.55
1937,11.15,8.70
1938,10.80,8.86
1939,11.36,8.76
1940,10.63,8.76
1941,10.89,8.77
1942,10.72,8.73
1943,11.14,8.76
1944,10.52,8.85
1945,9.99,8.58
1946,11.07,8.68
1947,9.20,8.80
1948,11.23,8.75
1949,11.24,8.59
1950,11.29,8.37
1951,10.98,8.63
1952,10.85,8.64
1953,10.79,8.87
1954,11.09,8.56
1955,11.23,8.63
1956,9.84,8.28
1957,10.11,8.73
1958,11.09,8.77
1959,11.58,8.73
1960,11.63,8.58
1961,11.66,8.80
1962,10.98,8.75
1963,10.55,8.86
1964,11.35,8.41
1965,10.61,8.53
1966,10.73,8.60
1967,10.84,8.70
1968,10.93,8.52
1969,10.09,8.60
1970,10.46,8.70
1971,10.71,8.60
1972,11.01,8.50
1973,11.28,8.95
1974,10.21,8.47
1975,11.61,8.74
1976,10.56,8.35
1977,11.22,8.85
1978,11.46,8.69
1979,11.58,8.73
1980,10.03,8.98
1981,10.28,9.17
1982,11.47,8.64
1983,11.38,9.03
1984,10.67,8.69
1985,10.78,8.66
1986,10.46,8.83
1987,11.03,8.99
1988,11.23,9.20
1989,12.01,8.92
1990,11.86,9.23
1991,11.39,9.18
1992,11.48,8.84
1993,11.02,8.87
1994,12.32,9.04
1995,11.27,9.35
1996,11.13,9.04
1997,11.70,9.20
1998,12.66,9.52
1999,12.13,9.29
2000,11.42,9.20
2001,11.60,9.41
2002,11.80,9.57
2003,11.80,9.53
2004,12.25,9.32
2005,11.16,9.70
2006,12.01,9.53
2007,12.25,9.73
2008,11.96,9.43
2009,11.84,9.51
2010,11.30,9.70
2011,11.12,9.52
2012,11.23,9.51
2013,12.12,9.61
